emp_id,event_type,event_date,note,recorded_by
EMP-056,정규직원,2015-03-02,입사,system_import
EMP-057,정규직원,2017-03-01,입사,system_import
EMP-058,정규직원,2020-03-10,입사,system_import
EMP-059,정규직원,2022-03-01,입사,system_import
EMP-060,정규직원,2024-01-01,입사,system_import
EMP-061,정규직원,2014-03-01,입사,system_import
EMP-062,정규직원,2018-09-17,입사,system_import
EMP-063,정규직원,2020-10-01,입사,system_import
EMP-064,정규직원,2022-08-17,입사,system_import
EMP-065,정규직원,2024-01-01,입사,system_import
EMP-066,정규직원,2025-01-13,입사,system_import
EMP-067,정규직원,2025-01-13,입사,system_import
EMP-068,정규직원,2025-04-21,입사,system_import
EMP-069,정규직원,2015-03-02,입사,system_import
EMP-070,정규직원,2021-12-01,입사,system_import
EMP-071,정규직원,2018-03-01,입사,system_import
EMP-072,정규직원,2024-01-01,입사,system_import
EMP-073,정규직원,2024-01-01,입사,system_import
EMP-074,정규직원,2024-01-01,입사,system_import
EMP-075,정규직원,2022-03-01,입사,system_import
EMP-076,파견,2023-07-10,입사,system_import
EMP-077,파견,2021-09-13,입사,system_import
EMP-078,파견,2020-10-01,입사,system_import
EMP-079,파견,2023-01-01,입사,system_import
EMP-080,파견,2020-10-01,입사,system_import
EMP-081,파견,2020-10-01,입사,system_import
EMP-082,파견,2024-01-01,입사,system_import
EMP-083,파견,2022-03-07,입사,system_import
EMP-084,파견,2023-01-02,입사,system_import
EMP-085,파견,2023-08-14,입사,system_import
EMP-086,파견,2024-01-01,입사,system_import
EMP-087,정규직원,2014-03-01,입사,system_import
EMP-088,정규직원,2021-03-09,입사,system_import
EMP-089,정규직원,2024-01-01,입사,system_import
EMP-090,인턴,2026-02-01,입사,system_import
EMP-091,인턴,2026-02-01,입사,system_import
EMP-092,인턴,2026-02-01,입사,system_import
EMP-093,인턴,2026-02-01,입사,system_import
EMP-094,정규직원,2013-03-01,입사,system_import
EMP-095,정규직원,2014-03-01,입사,system_import
EMP-096,정규직원,2022-03-01,입사,system_import
EMP-097,정규직원,2023-01-02,입사,system_import
EMP-098,정규직원,2025-09-08,입사,system_import
EMP-099,정규직원,2017-04-01,입사,system_import
EMP-100,정규직원,2025-02-03,입사,system_import
EMP-101,정규직원,2022-03-01,입사,system_import
EMP-102,정규직원,2021-03-09,입사,system_import
EMP-103,정규직원,2020-10-07,입사,system_import
EMP-104,정규직원,2024-09-16,입사,system_import
EMP-105,파견준비,2022-03-01,입사,system_import
EMP-106,정규직원,2022-03-01,입사,system_import
EMP-107,정규직원,2024-01-01,입사,system_import
EMP-108,정규직원,2024-01-01,입사,system_import
EMP-109,정규직원,2021-09-13,입사,system_import
EMP-110,정규직원,2024-01-01,입사,system_import
EMP-111,정규직원,2021-04-01,입사,system_import
EMP-112,정규직원,2022-03-01,입사,system_import
EMP-113,정규직원,2023-05-01,입사,system_import
EMP-114,파견준비,2024-10-16,입사,system_import
EMP-115,파견준비,2022-08-17,입사,system_import
EMP-116,파견준비,2022-08-17,입사,system_import
EMP-117,정규직원,2020-10-01,입사,system_import
EMP-118,정규직원,2023-09-01,입사,system_import
EMP-119,정규직원,2024-01-01,입사,system_import
EMP-120,인턴,2026-02-01,입사,system_import
EMP-121,정규직원,2014-03-01,입사,system_import
EMP-122,정규직원,2024-03-01,입사,system_import
EMP-123,정규직원,2024-08-12,입사,system_import
EMP-124,정규직원,2023-06-19,입사,system_import
EMP-125,정규직원,2014-01-01,입사,system_import
EMP-126,정규직원,2014-03-01,입사,system_import
EMP-127,정규직원,2013-03-01,입사,system_import
EMP-128,정규직원,2014-03-01,입사,system_import
EMP-129,정규직원,2018-09-17,입사,system_import
EMP-130,정규직원,2014-01-01,입사,system_import
EMP-131,정규직원,2024-08-12,입사,system_import
EMP-132,정규직원,2020-10-01,입사,system_import
EMP-133,정규직원,2013-03-01,입사,system_import
EMP-134,정규직원,2014-11-13,입사,system_import
EMP-135,정규직원,2025-10-08,입사,system_import
EMP-136,정규직원,2014-07-01,입사,system_import
EMP-137,정규직원,2015-03-10,입사,system_import
EMP-138,정규직원,2013-08-06,입사,system_import
EMP-139,정규직원,2023-03-01,입사,system_import
EMP-140,정규직원,2013-03-01,입사,system_import
EMP-141,정규직원,2013-06-17,입사,system_import
EMP-142,정규직원,2021-03-29,입사,system_import
